issue_id,priority,severity,severity_score,source,dimension,rule_id,scope,table,column,n_records,pct_affected,reason,recommended_action,record_keys,evidence,detected_at
ISS-A0011,11,medium,47.31,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 7.4655 (99.9500% percentile, 22.9x the batch median). Largest deviations: V23 (observed -13.58 vs expected -0.27), V19 (observed -2.44 vs expected 0.42), V28 (observed 0.99 vs expected -1.80).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['13337'],"{'score': 7.465538501739502, 'percentile': 0.9995, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V23', 'squared_error': 177.20790100097656, 'share_of_error': 0.7657027875386734, 'observed': -13.582332611083984, 'expected': -0.2703867256641388}, {'feature': 'V19', 'squared_error': 8.153478622436523, 'share_of_error': 0.035230603568303785, 'observed': -2.436929941177368, 'expected': 0.4184996485710144}, {'feature': 'V28', 'squared_error': 7.8238606452941895, 'share_of_error': 0.033806347637867856, 'observed': 0.9935076236724854, 'expected': -1.8036088943481445}]}",2026-09-18T17:23:23+00:00
ISS-A0012,12,medium,46.82,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 6.6121 (99.9450% percentile, 20.3x the batch median). Largest deviations: V17 (observed -6.13 vs expected 0.71), V14 (observed -7.27 vs expected -0.64), V12 (observed -4.61 vs expected 0.17).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['16337'],"{'score': 6.612064361572266, 'percentile': 0.99945, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 46.89421081542969, 'share_of_error': 0.2287812641738562, 'observed': -6.133820056915283, 'expected': 0.7141144275665283}, {'feature': 'V14', 'squared_error': 43.95089340209961, 'share_of_error': 0.21442179704609257, 'observed': -7.267469882965088, 'expected': -0.6379226446151733}, {'feature': 'V12', 'squared_error': 22.905506134033203, 'share_of_error': 0.11174834929009812, 'observed': -4.611470699310303, 'expected': 0.174499049782753}]}",2026-09-18T17:23:23+00:00
ISS-A0013,13,medium,46.33,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 6.3358 (99.9400% percentile, 19.5x the batch median). Largest deviations: V17 (observed -6.08 vs expected 0.93), V14 (observed -7.54 vs expected -1.76), V12 (observed -4.97 vs expected 0.03).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['15056'],"{'score': 6.3357834815979, 'percentile': 0.9994, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 49.114139556884766, 'share_of_error': 0.25006015848325275, 'observed': -6.075830936431885, 'expected': 0.9323170185089111}, {'feature': 'V14', 'squared_error': 33.468910217285156, 'share_of_error': 0.17040390137554373, 'observed': -7.5447540283203125, 'expected': -1.7595220804214478}, {'feature': 'V12', 'squared_error': 25.04534339904785, 'share_of_error': 0.1275160798119994, 'observed': -4.972113609313965, 'expected': 0.032418739050626755}]}",2026-09-18T17:23:23+00:00
ISS-A0014,14,medium,45.84,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 5.7033 (99.9350% percentile, 17.5x the batch median). Largest deviations: V17 (observed -7.66 vs expected -0.04), V7 (observed -4.09 vs expected -0.36), V3 (observed -4.17 vs expected -0.44).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['12930'],"{'score': 5.703287601470947, 'percentile': 0.99935, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 58.16764831542969, 'share_of_error': 0.3289989612215283, 'observed': -7.66463565826416, 'expected': -0.03786389157176018}, {'feature': 'V7', 'squared_error': 13.974101066589355, 'share_of_error': 0.07903817445019543, 'observed': -4.093271732330322, 'expected': -0.35507676005363464}, {'feature': 'V3', 'squared_error': 13.957831382751465, 'share_of_error': 0.0789461523513641, 'observed': -4.1732258796691895, 'expected': -0.4372076988220215}]}",2026-09-18T17:23:23+00:00
ISS-A0015,15,medium,45.35,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 5.6586 (99.9300% percentile, 17.4x the batch median). Largest deviations: V17 (observed -7.13 vs expected 0.58), V3 (observed -5.46 vs expected -1.52), V10 (observed -2.89 vs expected 0.98).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['13070'],"{'score': 5.658587455749512, 'percentile': 0.9993, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 59.51984405517578, 'share_of_error': 0.33930637703521427, 'observed': -7.13271427154541, 'expected': 0.5821962356567383}, {'feature': 'V3', 'squared_error': 15.51705551147461, 'share_of_error': 0.08845849600970034, 'observed': -5.459133625030518, 'expected': -1.519964337348938}, {'feature': 'V10', 'squared_error': 14.970819473266602, 'share_of_error': 0.08534455352425609, 'observed': -2.8929998874664307, 'expected': 0.9762144088745117}]}",2026-09-18T17:23:23+00:00
ISS-A0016,16,medium,44.86,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 5.6567 (99.9250% percentile, 17.4x the batch median). Largest deviations: V17 (observed -7.34 vs expected 0.39), V3 (observed -5.09 vs expected -1.09), V10 (observed -2.98 vs expected 0.80).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['12965'],"{'score': 5.6566996574401855, 'percentile': 0.99925, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 59.7050895690918, 'share_of_error': 0.3404760077582872, 'observed': -7.341888427734375, 'expected': 0.38501858711242676}, {'feature': 'V3', 'squared_error': 16.04261589050293, 'share_of_error': 0.09148509535484788, 'observed': -5.094074726104736, 'expected': -1.0887513160705566}, {'feature': 'V10', 'squared_error': 14.266600608825684, 'share_of_error': 0.08135713813734098, 'observed': -2.976896286010742, 'expected': 0.8002190589904785}]}",2026-09-18T17:23:23+00:00
ISS-A0017,17,medium,44.37,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 5.5727 (99.9200% percentile, 17.1x the batch median). Largest deviations: V23 (observed -15.06 vs expected -5.00), V19 (observed -2.53 vs expected 1.76), V28 (observed 1.45 vs expected -2.00).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['15779'],"{'score': 5.572732448577881, 'percentile': 0.9992, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V23', 'squared_error': 101.16967010498047, 'share_of_error': 0.5856261226977807, 'observed': -15.062829971313477, 'expected': -5.004516124725342}, {'feature': 'V19', 'squared_error': 18.396703720092773, 'share_of_error': 0.10649031729408988, 'observed': -2.5296802520751953, 'expected': 1.7594578266143799}, {'feature': 'V28', 'squared_error': 11.895294189453125, 'share_of_error': 0.06885655559902766, 'observed': 1.4483741521835327, 'expected': -2.0005812644958496}]}",2026-09-18T17:23:23+00:00
ISS-A0018,18,medium,43.88,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 5.1111 (99.9150% percentile, 15.7x the batch median). Largest deviations: V27 (observed 18.10 vs expected 12.78), V3 (observed -2.71 vs expected -6.32), V11 (observed -0.80 vs expected 2.80).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['14803'],"{'score': 5.111077308654785, 'percentile': 0.99915, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 28.28520965576172, 'share_of_error': 0.17851935337951103, 'observed': 18.10150146484375, 'expected': 12.783117294311523}, {'feature': 'V3', 'squared_error': 13.06161880493164, 'share_of_error': 0.08243713840286414, 'observed': -2.7054433822631836, 'expected': -6.3195295333862305}, {'feature': 'V11', 'squared_error': 12.967948913574219, 'share_of_error': 0.08184594998178593, 'observed': -0.7965993285179138, 'expected': 2.80450439453125}]}",2026-09-18T17:23:23+00:00
ISS-A0019,19,medium,43.39,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 4.6211 (99.9100% percentile, 14.2x the batch median). Largest deviations: V7 (observed -7.50 vs expected -1.66), V5 (observed 6.73 vs expected 1.65), V27 (observed 1.66 vs expected 5.57).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['6168'],"{'score': 4.621145248413086, 'percentile': 0.9991, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V7', 'squared_error': 34.152366638183594, 'share_of_error': 0.2384017600189754, 'observed': -7.500978469848633, 'expected': -1.6569758653640747}, {'feature': 'V5', 'squared_error': 25.785232543945312, 'share_of_error': 0.1799946951290421, 'observed': 6.729099750518799, 'expected': 1.6511837244033813}, {'feature': 'V27', 'squared_error': 15.332385063171387, 'share_of_error': 0.10702823681513143, 'observed': 1.657745361328125, 'expected': 5.573404312133789}]}",2026-09-18T17:23:23+00:00
ISS-A0020,20,medium,42.9,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 4.5006 (99.9050% percentile, 13.8x the batch median). Largest deviations: V27 (observed -12.72 vs expected -4.71), V19 (observed -1.82 vs expected 1.61), V24 (observed -4.08 vs expected -0.92).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['14377'],"{'score': 4.500615119934082, 'percentile': 0.99905, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 64.07445526123047, 'share_of_error': 0.45925228702812493, 'observed': -12.71918773651123, 'expected': -4.714535236358643}, {'feature': 'V19', 'squared_error': 11.72586727142334, 'share_of_error': 0.08404490275936516, 'observed': -1.81906259059906, 'expected': 1.6052429676055908}, {'feature': 'V24', 'squared_error': 9.943188667297363, 'share_of_error': 0.07126759200981392, 'observed': -4.0767502784729, 'expected': -0.9234681129455566}]}",2026-09-18T17:23:23+00:00
ISS-A0021,21,medium,42.41,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 4.4018 (99.9000% percentile, 13.5x the batch median). Largest deviations: V27 (observed 17.04 vs expected 12.74), V23 (observed 38.15 vs expected 33.87), V17 (observed -2.03 vs expected 2.02).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['850'],"{'score': 4.401758670806885, 'percentile': 0.999, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 18.517257690429688, 'share_of_error': 0.13570278466083588, 'observed': 17.043062210083008, 'expected': 12.739893913269043}, {'feature': 'V23', 'squared_error': 18.26719093322754, 'share_of_error': 0.13387018310229218, 'observed': 38.14830780029297, 'expected': 33.87429428100586}, {'feature': 'V17', 'squared_error': 16.392854690551758, 'share_of_error': 0.12013420492592919, 'observed': -2.02542781829834, 'expected': 2.023380994796753}]}",2026-09-18T17:23:23+00:00
ISS-A0022,22,medium,41.92,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 4.2304 (99.8950% percentile, 13.0x the batch median). Largest deviations: V28 (observed 3.36 vs expected -1.92), V8 (observed -2.67 vs expected -6.34), V25 (observed 3.88 vs expected 0.46).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['1395'],"{'score': 4.230419635772705, 'percentile': 0.99895, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V28', 'squared_error': 27.907751083374023, 'share_of_error': 0.21280395759540457, 'observed': 3.3643834590911865, 'expected': -1.9183950424194336}, {'feature': 'V8', 'squared_error': 13.485404968261719, 'share_of_error': 0.102829767201574, 'observed': -2.670830249786377, 'expected': -6.343078136444092}, {'feature': 'V25', 'squared_error': 11.733020782470703, 'share_of_error': 0.08946737591286526, 'observed': 3.881284236907959, 'expected': 0.4559344947338104}]}",2026-09-18T17:23:23+00:00
ISS-A0023,23,medium,41.43,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.9975 (99.8900% percentile, 12.3x the batch median). Largest deviations: log_amount (observed 2.88 vs expected 7.83), V4 (observed 6.65 vs expected 2.93), V27 (observed -3.25 vs expected 0.22).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['1298'],"{'score': 3.997520685195923, 'percentile': 0.9989, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'log_amount', 'squared_error': 24.527816772460938, 'share_of_error': 0.19792765124426104, 'observed': 2.8804070949554443, 'expected': 7.832963466644287}, {'feature': 'V4', 'squared_error': 13.84261703491211, 'share_of_error': 0.11170324298370303, 'observed': 6.648799896240234, 'expected': 2.9282331466674805}, {'feature': 'V27', 'squared_error': 12.072332382202148, 'share_of_error': 0.0974178996694114, 'observed': -3.2515709400177, 'expected': 0.2229551374912262}]}",2026-09-18T17:23:23+00:00
ISS-A0024,24,medium,40.94,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.8023 (99.8850% percentile, 11.7x the batch median). Largest deviations: V27 (observed -12.44 vs expected -6.34), V19 (observed -2.78 vs expected 1.01), V28 (observed -1.34 vs expected -4.78).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['5165'],"{'score': 3.8023135662078857, 'percentile': 0.99885, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 37.12660598754883, 'share_of_error': 0.31497468376675014, 'observed': -12.437053680419922, 'expected': -6.343893051147461}, {'feature': 'V19', 'squared_error': 14.323846817016602, 'share_of_error': 0.12152064541063218, 'observed': -2.775660991668701, 'expected': 1.0090248584747314}, {'feature': 'V28', 'squared_error': 11.862290382385254, 'share_of_error': 0.10063729399865447, 'observed': -1.336588740348816, 'expected': -4.78075647354126}]}",2026-09-18T17:23:23+00:00
ISS-A0025,25,medium,40.45,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.6721 (99.8800% percentile, 11.3x the batch median). Largest deviations: V25 (observed -8.26 vs expected -3.62), V28 (observed 2.58 vs expected -1.85), V7 (observed -7.11 vs expected -2.84).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['4549'],"{'score': 3.6720993518829346, 'percentile': 0.9988, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V25', 'squared_error': 21.455970764160156, 'share_of_error': 0.1884829433893174, 'observed': -8.256181716918945, 'expected': -3.6241228580474854}, {'feature': 'V28', 'squared_error': 19.584331512451172, 'share_of_error': 0.17204126946075501, 'observed': 2.576308250427246, 'expected': -1.84911048412323}, {'feature': 'V7', 'squared_error': 18.235118865966797, 'share_of_error': 0.16018892431810353, 'observed': -7.114023208618164, 'expected': -2.8437633514404297}]}",2026-09-18T17:23:23+00:00
ISS-A0026,26,medium,39.96,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.608 (99.8750% percentile, 11.1x the batch median). Largest deviations: V21 (observed -4.57 vs expected -0.31), V27 (observed 5.15 vs expected 1.05), V20 (observed -12.68 vs expected -8.78).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['16259'],"{'score': 3.6080479621887207, 'percentile': 0.99875, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V21', 'squared_error': 18.125953674316406, 'share_of_error': 0.16205665673966044, 'observed': -4.5673723220825195, 'expected': -0.30991363525390625}, {'feature': 'V27', 'squared_error': 16.80403709411621, 'share_of_error': 0.1502379472071785, 'observed': 5.148165702819824, 'expected': 1.0488929748535156}, {'feature': 'V20', 'squared_error': 15.245477676391602, 'share_of_error': 0.1363035119159503, 'observed': -12.684065818786621, 'expected': -8.779520034790039}]}",2026-09-18T17:23:23+00:00
ISS-A0027,27,medium,39.47,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.6074 (99.8700% percentile, 11.1x the batch median). Largest deviations: V17 (observed -6.69 vs expected -1.15), V14 (observed -4.64 vs expected -0.00), V10 (observed -3.36 vs expected -0.09).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['15342'],"{'score': 3.607438564300537, 'percentile': 0.9987, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 30.6932373046875, 'share_of_error': 0.2744619011590265, 'observed': -6.685799598693848, 'expected': -1.1456518173217773}, {'feature': 'V14', 'squared_error': 21.47756004333496, 'share_of_error': 0.19205442238739026, 'observed': -4.635220527648926, 'expected': -0.0008314357255585492}, {'feature': 'V10', 'squared_error': 10.678022384643555, 'share_of_error': 0.09548391051798016, 'observed': -3.3561480045318604, 'expected': -0.08842380344867706}]}",2026-09-18T17:23:23+00:00
ISS-A0028,28,medium,38.98,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 3.5807 (99.8650% percentile, 11.0x the batch median). Largest deviations: V14 (observed -5.35 vs expected -0.69), V17 (observed -3.60 vs expected 0.77), V12 (observed -3.57 vs expected 0.12).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['12057'],"{'score': 3.5807127952575684, 'percentile': 0.99865, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V14', 'squared_error': 21.74024772644043, 'share_of_error': 0.1958543806233934, 'observed': -5.3501434326171875, 'expected': -0.687499463558197}, {'feature': 'V17', 'squared_error': 19.06133270263672, 'share_of_error': 0.17172046783031755, 'observed': -3.599443197250366, 'expected': 0.7664852142333984}, {'feature': 'V12', 'squared_error': 13.574535369873047, 'share_of_error': 0.12229079680096795, 'observed': -3.5676932334899902, 'expected': 0.11667042970657349}]}",2026-09-18T17:23:23+00:00
